Timestamp,AX,AY,AZ
2025-06-18 16:34:11.360,0.08,0.38,9.79
2025-06-18 16:34:11.379,0.08,0.39,9.8
2025-06-18 16:34:11.397,0.08,0.38,9.79
2025-06-18 16:34:11.416,0.09,0.39,9.8
2025-06-18 16:34:11.435,0.09,0.39,9.79
2025-06-18 16:34:11.463,0.09,0.38,9.79
2025-06-18 16:34:11.481,0.08,0.38,9.79
2025-06-18 16:34:11.500,0.08,0.39,9.79
2025-06-18 16:34:11.518,0.08,0.39,9.8
2025-06-18 16:34:11.537,0.08,0.39,9.79
2025-06-18 16:34:11.555,0.09,0.38,9.8
2025-06-18 16:34:11.574,0.08,0.38,9.8
2025-06-18 16:34:11.602,0.08,0.39,9.79
2025-06-18 16:34:11.621,0.08,0.39,9.8
2025-06-18 16:34:11.639,0.08,0.38,9.8
2025-06-18 16:34:11.658,0.09,0.39,9.79
2025-06-18 16:34:11.676,0.08,0.39,9.8
2025-06-18 16:34:11.695,0.08,0.39,9.79
2025-06-18 16:34:11.761,0.08,0.38,9.79
2025-06-18 16:34:11.779,0.08,0.39,9.79
2025-06-18 16:34:11.817,0.09,0.38,9.79
2025-06-18 16:34:11.864,0.08,0.39,9.79
2025-06-18 16:34:11.883,0.08,0.39,9.8
2025-06-18 16:34:11.902,0.08,0.39,9.8
2025-06-18 16:34:11.920,0.08,0.38,9.8
2025-06-18 16:34:11.939,0.08,0.38,9.79
2025-06-18 16:34:11.957,0.09,0.39,9.79
2025-06-18 16:34:11.985,0.08,0.38,9.79
2025-06-18 16:34:12.040,0.08,0.38,9.8
2025-06-18 16:34:12.220,0.08,0.39,9.8
2025-06-18 16:34:12.410,0.08,0.38,9.79
2025-06-18 16:34:12.790,0.09,0.39,9.79
2025-06-18 16:34:12.980,0.09,0.38,9.79
2025-06-18 16:34:12.145,0.09,0.38,9.79
2025-06-18 16:34:12.163,0.08,0.39,9.8
2025-06-18 16:34:12.182,0.08,0.39,9.79
2025-06-18 16:34:12.200,0.08,0.39,9.8
2025-06-18 16:34:12.219,0.08,0.39,9.79
2025-06-18 16:34:12.247,0.09,0.38,9.79
2025-06-18 16:34:12.266,0.09,0.38,9.79
2025-06-18 16:34:12.303,0.08,0.39,9.79
2025-06-18 16:34:12.321,0.09,0.38,9.79
2025-06-18 16:34:12.340,0.09,0.39,9.8
2025-06-18 16:34:12.368,0.09,0.38,9.8
2025-06-18 16:34:12.405,0.08,0.39,9.8
2025-06-18 16:34:12.424,0.08,0.39,9.8
2025-06-18 16:34:12.462,0.08,0.39,9.79
2025-06-18 16:34:12.490,0.08,0.39,9.79
2025-06-18 16:34:12.508,0.08,0.38,9.79
2025-06-18 16:34:12.527,0.08,0.38,9.8
2025-06-18 16:34:12.545,0.09,0.38,9.8
2025-06-18 16:34:12.564,0.08,0.39,9.79
2025-06-18 16:34:12.582,0.08,0.39,9.79
2025-06-18 16:34:12.610,0.09,0.38,9.8
2025-06-18 16:34:12.648,0.08,0.38,9.79
2025-06-18 16:34:12.666,0.08,0.38,9.79
2025-06-18 16:34:12.685,0.08,0.39,9.79
2025-06-18 16:34:12.703,0.08,0.39,9.79
2025-06-18 16:34:12.750,0.08,0.38,9.79
2025-06-18 16:34:12.768,0.08,0.38,9.8
2025-06-18 16:34:12.806,0.08,0.39,9.79
2025-06-18 16:34:12.825,0.08,0.39,9.8
2025-06-18 16:34:12.853,0.08,0.39,9.79
2025-06-18 16:34:12.871,0.09,0.39,9.79
2025-06-18 16:34:12.890,0.09,0.39,9.79
2025-06-18 16:34:12.908,0.08,0.39,9.79
2025-06-18 16:34:12.927,0.08,0.39,9.79
2025-06-18 16:34:12.946,0.08,0.38,9.79
2025-06-18 16:34:12.973,0.08,0.38,9.79
2025-06-18 16:34:12.992,0.08,0.39,9.79
2025-06-18 16:34:13.110,0.08,0.39,9.79
2025-06-18 16:34:13.290,0.08,0.38,9.8
2025-06-18 16:34:13.480,0.08,0.38,9.8
2025-06-18 16:34:13.660,0.08,0.38,9.79
