Timestamp,LC_SPS,Accel_SPS
2025-06-18 16:56:23,107,42
2025-06-18 16:56:24,107,47
2025-06-18 16:56:25,108,44
2025-06-18 16:56:26,107,44
2025-06-18 16:56:27,108,44
2025-06-18 16:56:28,107,42
2025-06-18 16:56:29,107,43
2025-06-18 16:56:30,108,45
2025-06-18 16:56:31,107,44
2025-06-18 16:56:32,107,47
2025-06-18 16:56:33,108,45
2025-06-18 16:56:34,107,44
2025-06-18 16:56:35,108,45
2025-06-18 16:56:36,107,43
2025-06-18 16:56:37,108,44
2025-06-18 16:56:38,107,46
2025-06-18 16:56:39,107,45
2025-06-18 16:56:40,108,44
2025-06-18 16:56:41,108,42
2025-06-18 16:56:42,107,44
2025-06-18 16:56:43,107,45
2025-06-18 16:56:44,108,45
2025-06-18 16:56:45,107,43
2025-06-18 16:56:46,107,45
2025-06-18 16:56:47,108,43
2025-06-18 16:56:48,107,44
2025-06-18 16:56:49,108,46
2025-06-18 16:56:50,107,43
2025-06-18 16:56:51,108,44
2025-06-18 16:56:52,107,45
2025-06-18 16:56:53,107,43
2025-06-18 16:56:54,108,44
2025-06-18 16:56:55,107,46
2025-06-18 16:56:56,107,46
2025-06-18 16:56:57,108,42
2025-06-18 16:56:58,107,44
2025-06-18 16:56:59,108,46
2025-06-18 16:57:00,107,46
2025-06-18 16:57:01,107,43
2025-06-18 16:57:02,108,45
2025-06-18 16:57:03,107,44
2025-06-18 16:57:04,108,43
2025-06-18 16:57:05,107,46
2025-06-18 16:57:06,107,43
2025-06-18 16:57:07,108,42
2025-06-18 16:57:08,107,46
2025-06-18 16:57:09,108,43
2025-06-18 16:57:10,107,44
2025-06-18 16:57:11,108,45
2025-06-18 16:57:12,107,45
2025-06-18 16:57:13,107,45
2025-06-18 16:57:14,108,47
2025-06-18 16:57:15,107,43
2025-06-18 16:57:16,108,43
2025-06-18 16:57:17,107,45
2025-06-18 16:57:18,107,42
2025-06-18 16:57:19,108,43
2025-06-18 16:57:20,107,44
2025-06-18 16:57:21,108,44
2025-06-18 16:57:22,107,44
2025-06-18 16:57:23,108,46
2025-06-18 16:57:24,107,43
2025-06-18 16:57:25,108,43
2025-06-18 16:57:26,107,45
2025-06-18 16:57:27,107,45
2025-06-18 16:57:28,108,46
2025-06-18 16:57:29,107,42
2025-06-18 16:57:30,108,44
2025-06-18 16:57:31,107,40
2025-06-18 16:57:32,107,44
2025-06-18 16:57:33,108,45
2025-06-18 16:57:34,107,43
2025-06-18 16:57:35,108,44
2025-06-18 16:57:36,107,45
2025-06-18 16:57:37,107,44
2025-06-18 16:57:38,108,44
2025-06-18 16:57:39,107,43
2025-06-18 16:57:40,107,44
2025-06-18 16:57:41,108,43
2025-06-18 16:57:42,107,43
2025-06-18 16:57:43,108,45
2025-06-18 16:57:44,107,44
2025-06-18 16:57:45,107,41
2025-06-18 16:57:46,108,44
2025-06-18 16:57:47,107,44
2025-06-18 16:57:48,108,43
2025-06-18 16:57:49,107,43
2025-06-18 16:57:50,108,41
2025-06-18 16:57:51,107,44
2025-06-18 16:57:52,107,42
2025-06-18 16:57:53,108,41
2025-06-18 16:57:54,107,43
2025-06-18 16:57:55,108,41
2025-06-18 16:57:56,107,45
2025-06-18 16:57:57,107,41
2025-06-18 16:57:58,108,44
2025-06-18 16:57:59,107,46
2025-06-18 16:58:00,108,46
2025-06-18 16:58:01,107,46
2025-06-18 16:58:02,107,45
2025-06-18 16:58:03,108,43
2025-06-18 16:58:04,107,43
2025-06-18 16:58:05,107,43
2025-06-18 16:58:06,108,45
2025-06-18 16:58:07,107,45
2025-06-18 16:58:08,108,45
2025-06-18 16:58:09,107,43
2025-06-18 16:58:10,107,44
2025-06-18 16:58:11,108,46
2025-06-18 16:58:12,107,45
2025-06-18 16:58:13,108,44
2025-06-18 16:58:14,107,43
2025-06-18 16:58:15,107,43
2025-06-18 16:58:16,108,46
